Month,Year,Leadership,Event Type,Parties Involved,Description
Feb,2012,"Barack Obama, Kim Jong-un",Political Dialogue (Nuclear),"U.S., DPRK","Leap Day Agreement: North Korea agrees to a moratorium on long-range missile launches, nuclear tests, and uranium enrichment for 240,000 tons of U.S. food aid."
Feb,2012,"Barack Obama, Kim Jong-un",Political Dialogue (Nuclear),"U.S., DPRK",Special Representative for North Korea Policy Glyn Davies meets North Korean First Vice Foreign Minister Kim Kye-gwan in Beijing to discuss a nuclear deal.
Oct,2011,"Barack Obama, Kim Jong-il",Political Dialogue (Nuclear),"U.S., DPRK",Ambassadors Glyn Davies and Stephen Bosworth talk with North Korean counterparts in Geneva regarding steps to resume the six-party process.
Jul,2011,"Barack Obama, Kim Jong-il",Political Dialogue (Nuclear),"U.S., DPRK",U.S. Special Representative for North Korea Policy Stephen Bosworth and Kim Kye-gwan have talks in New York designed to explore the willingness of North Korea to take steps toward denuclearization.
Dec,2009,"Barack Obama, Kim Jong-il",Political Dialogue (Nuclear),"U.S., DPRK","U.S. Special Representative to North Korea Stephen Bosworth travels to Pyongyang for exploratory talks with First Vice Foreign Minister Kang Sok-ju, Vice Foreign Minister Kim Kye-gwan, and others. The purpose of the meeting is to facilitate the resumption of the Six-Party Talks."
Dec,2008,"George W. Bush, Kim Jong-il, Hu Jintao, Lee Myung-bak, Taro Aso, Dmitry Medvedev",Political Dialogue (Nuclear),"U.S., DPRK, China, ROK, Japan, Russia",Six Party Talks in Beijing end in failure after North Korea refuses to sign onto a Chinese draft of a verification protocol.
Oct,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",Chris Hill visits Pyongyang with a U.S. delegation that includes Sung Kim to discuss the Six Party Talks verification protocol.
Aug,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",Sung Kim meets with DPRK officials in New York to discuss verification revisions to the U.S. draft verification protocol.
Aug,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK","Sung Kim and Ri Gun, head of the North Korean Foreign Ministry's American affairs bureau meet in Beijing but fail to narrow differences on verification."
Jul,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK","Sung Kim and Ri Gun, head of the North Korean Foreign Ministry's American affairs bureau meet in Beijing but fail to narrow differences on verification."
Jul,2008,"George W. Bush, Kim Jong-il, Hu Jintao, Lee Myung-bak, Yasuo Fukuda, Dmitry Medvedev",Political Dialogue (Nuclear),"U.S., DPRK, China, ROK, Japan, Russia",Foreign Ministers of the Six Party Talks countries have an informal meeting in Singapore on the sidelines of the ASEAN security forum.
Jul,2008,"George W. Bush, Kim Jong-il, Hu Jintao, Lee Myung-bak, Yasuo Fukuda, Dmitry Medvedev",Political Dialogue (Nuclear),"U.S., DPRK, China, ROK, Japan, Russia",Six party talks are held in Beijing after a 9-month break where they discuss the verification protocol.
