Date,Prov,Nego
Jan-90,0,1
Feb-90,0,0
Mar-90,1,0
Apr-90,0,1
May-90,1,1
Jun-90,1,0
Jul-90,0,0
Aug-90,0,0
Sep-90,0,0
Oct-90,0,0
Nov-90,0,0
Dec-90,0,0
Jan-91,0,0
Feb-91,0,0
Mar-91,0,0
Apr-91,0,0
May-91,0,0
Jun-91,0,0
Jul-91,2,0
Aug-91,0,0
Sep-91,0,0
Oct-91,0,0
Nov-91,0,0
Dec-91,0,0
Jan-92,0,2
Feb-92,0,0
Mar-92,0,0
Apr-92,0,0
May-92,1,0
Jun-92,1,0
Jul-92,0,0
Aug-92,0,0
Sep-92,0,0
Oct-92,0,0
Nov-92,0,1
Dec-92,0,0
Jan-93,0,1
Feb-93,0,1
Mar-93,0,1
Apr-93,0,0
May-93,1,1
Jun-93,0,1
Jul-93,0,1
Aug-93,0,1
Sep-93,0,2
Oct-93,0,0
Nov-93,0,0
Dec-93,0,1
Jan-94,0,2
Feb-94,0,2
Mar-94,0,0
Apr-94,0,1
May-94,1,3
Jun-94,1,1
Jul-94,0,2
Aug-94,0,1
Sep-94,0,2
Oct-94,0,0
Nov-94,0,3
Dec-94,1,1
Jan-95,0,3
Feb-95,0,0
Mar-95,1,1
Apr-95,0,2
May-95,0,1
Jun-95,0,3
Jul-95,0,0
Aug-95,1,1
Sep-95,0,4
Oct-95,2,2
Nov-95,0,0
Dec-95,0,1
Jan-96,0,0
Feb-96,0,0
Mar-96,0,1
Apr-96,3,2
May-96,0,0
Jun-96,0,1
Jul-96,0,2
Aug-96,0,1
Sep-96,6,1
Oct-96,0,0
Nov-96,1,1
Dec-96,0,1
Jan-97,0,2
Feb-97,0,0
Mar-97,0,3
Apr-97,1,2
May-97,1,1
Jun-97,1,3
Jul-97,1,2
Aug-97,0,2
Sep-97,0,3
Oct-97,0,0
Nov-97,0,3
Dec-97,0,2
Jan-98,0,1
Feb-98,0,0
Mar-98,0,3
Apr-98,0,0
May-98,0,1
Jun-98,1,1
Jul-98,0,0
Aug-98,1,1
Sep-98,0,1
Oct-98,0,3
Nov-98,0,1
Dec-98,1,2
Jan-99,0,5
Feb-99,0,2
Mar-99,1,3
Apr-99,0,3
May-99,0,2
Jun-99,1,1
Jul-99,0,0
Aug-99,0,1
Sep-99,0,2
Oct-99,0,0
Nov-99,0,1
Dec-99,0,0
Jan-00,0,1
Feb-00,0,1
Mar-00,0,1
Apr-00,0,1
May-00,0,2
Jun-00,0,0
Jul-00,0,3
Aug-00,0,0
Sep-00,0,1
Oct-00,0,3
Nov-00,0,1
Dec-00,0,1
Jan-01,0,0
Feb-01,0,0
Mar-01,0,1
Apr-01,0,0
May-01,0,1
Jun-01,0,1
Jul-01,0,1
Aug-01,0,1
Sep-01,2,2
Oct-01,0,1
Nov-01,1,0
Dec-01,1,1
Jan-02,0,0
Feb-02,0,0
Mar-02,0,1
Apr-02,0,0
May-02,0,0
Jun-02,1,1
Jul-02,0,1
Aug-02,0,2
Sep-02,0,0
Oct-02,0,1
Nov-02,0,0
Dec-02,0,0
Jan-03,0,0
Feb-03,2,0
Mar-03,2,0
Apr-03,0,1
May-03,0,0
Jun-03,1,0
Jul-03,1,1
Aug-03,2,1
Sep-03,0,0
Oct-03,2,0
Nov-03,1,0
Dec-03,0,0
Jan-04,0,0
Feb-04,0,1
Mar-04,0,0
Apr-04,0,0
May-04,0,2
Jun-04,0,2
Jul-04,0,1
Aug-04,0,0
Sep-04,0,0
Oct-04,0,0
Nov-04,1,2
Dec-04,0,1
Jan-05,0,0
Feb-05,0,0
Mar-05,0,0
Apr-05,0,0
May-05,1,1
Jun-05,0,1
Jul-05,0,2
Aug-05,0,0
Sep-05,0,1
Oct-05,0,1
Nov-05,0,1
Dec-05,0,0
Jan-06,0,1
Feb-06,0,0
Mar-06,1,1
Apr-06,0,0
May-06,0,0
Jun-06,0,0
Jul-06,1,0
Aug-06,0,0
Sep-06,0,0
Oct-06,1,1
Nov-06,0,0
Dec-06,0,1
Jan-07,0,1
Feb-07,0,1
Mar-07,0,2
Apr-07,0,0
May-07,1,0
Jun-07,2,1
Jul-07,0,1
Aug-07,0,0
Sep-07,0,3
Oct-07,0,1
Nov-07,0,0
Dec-07,0,1
Jan-08,0,1
Feb-08,0,1
Mar-08,1,1
Apr-08,0,2
May-08,1,2
Jun-08,0,1
Jul-08,0,3
Aug-08,0,2
Sep-08,0,0
Oct-08,1,1
Nov-08,0,0
Dec-08,0,1
Jan-09,0,0
Feb-09,0,0
Mar-09,0,0
Apr-09,1,0
May-09,4,0
Jun-09,0,0
Jul-09,3,0
Aug-09,0,0
Sep-09,0,0
Oct-09,1,0
Nov-09,1,0
Dec-09,0,1
Jan-10,3,0
Feb-10,0,0
Mar-10,1,0
Apr-10,0,0
May-10,0,0
Jun-10,0,0
Jul-10,0,0
Aug-10,1,0
Sep-10,0,0
Oct-10,0,0
Nov-10,1,0
Dec-10,0,0
Jan-11,0,0
Feb-11,0,0
Mar-11,0,0
Apr-11,0,0
May-11,0,0
Jun-11,1,0
Jul-11,0,1
Aug-11,0,0
Sep-11,0,0
Oct-11,0,1
Nov-11,0,0
Dec-11,0,0
Jan-12,0,0
Feb-12,0,2
Mar-12,1,0
Apr-12,1,0
May-12,0,0
Jun-12,0,0
Jul-12,0,0
Aug-12,0,0
Sep-12,0,0
Oct-12,0,0
Nov-12,0,0
Dec-12,1,0
Jan-13,0,0
Feb-13,1,0
Mar-13,1,0
Apr-13,0,0
May-13,3,0
Jun-13,0,0
Jul-13,0,0
Aug-13,0,0
Sep-13,0,0
Oct-13,0,0
Nov-13,0,0
Dec-13,0,0
Jan-14,0,0
Feb-14,1,0
Mar-14,7,0
Apr-14,0,0
May-14,1,0
Jun-14,2,0
Jul-14,4,0
Aug-14,1,0
Sep-14,2,0
Oct-14,3,0
Nov-14,0,0
Dec-14,0,0
Jan-15,0,0
Feb-15,2,0
Mar-15,2,0
Apr-15,2,0
May-15,1,0
Jun-15,1,0
Jul-15,0,0
Aug-15,2,0
Sep-15,0,0
Oct-15,0,0
Nov-15,1,0
Dec-15,1,0
Jan-16,1,0
Feb-16,1,0
Mar-16,5,0
Apr-16,5,0
May-16,1,0
Jun-16,1,0
Jul-16,2,0
Aug-16,2,0
Sep-16,2,0
Oct-16,2,0
Nov-16,0,0
Dec-16,0,0
Jan-17,0,0
Feb-17,1,0
Mar-17,2,0
Apr-17,3,0
May-17,2,0
